EntityId,EntityName,Category,IsBronze,IsEnabled,IsFailed,IsProcessing,MaxProcessedDateTimeUTC,SevenDayAvgProcessedTimeUTC,ChildEntitiesJSON
74,invoice_header,sales,0,1,0,0,2024-02-15 05:33:34.8800000,12:35:11,"[{""ChildEntityId"":60,""ChildIsRequired"":true},{""ChildEntityId"":73,""ChildIsRequired"":true},{""ChildEntityId"":75,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true},{""ChildEntityId"":79,""ChildIsRequired"":true}]"
75,invoice_history,sales,0,1,0,0,2024-02-15 05:53:24.0800000,06:04:55,"[{""ChildEntityId"":60,""ChildIsRequired"":true}]"
76,invoice_line,sales,0,1,0,0,2024-02-15 05:48:31.6100000,05:58:28,"[{""ChildEntityId"":60,""ChildIsRequired"":true},{""ChildEntityId"":73,""ChildIsRequired"":true},{""ChildEntityId"":75,""ChildIsRequired"":true},{""ChildEntityId"":77,""ChildIsRequired"":true},{""ChildEntityId"":79,""ChildIsRequired"":true},{""ChildEntityId"":78,""ChildIsRequired"":true}]"
77,invoice_line_calc,sales,0,1,0,0,2024-02-15 06:23:20.5600000,07:22:43,"[{""ChildEntityId"":60,""ChildIsRequired"":true}]"
78,invoice_promotion,sales,0,1,0,0,2024-02-15 05:53:24.1133333,06:04:54,
79,margin_correction_doc,sales,0,1,0,0,2024-02-15 05:53:23.8166667,07:00:55,"[{""ChildEntityId"":58,""ChildIsRequired"":true},{""ChildEntityId"":60,""ChildIsRequired"":true},{""ChildEntityId"":77,""ChildIsRequired"":true}]"
80,sites,sites,0,1,0,0,2024-02-15 01:23:25.5366667,02:43:26,"[{""ChildEntityId"":61,""ChildIsRequired"":true},{""ChildEntityId"":76,""ChildIsRequired"":true}]"
81,supplier,suppliers,0,1,0,0,2024-02-15 02:58:25.8833333,09:02:42,
82,supplier_source,suppliers,0,1,0,0,2024-02-15 02:48:21.7000000,08:53:06,"[{""ChildEntityId"":9,""ChildIsRequired"":true},{""ChildEntityId"":79,""ChildIsRequired"":true},{""ChildEntityId"":81,""ChildIsRequired"":true}]"
83,c_brown_data_prod.sap_bw.t_0material,bronze,1,1,0,0,2024-02-15 01:16:22.0767928,02:36:01,"[{""ChildEntityId"":87,""ChildIsRequired"":true}]"
84,c_brown_data_prod.sap_bw.t_0sales_grp,bronze,1,1,0,0,2024-02-15 01:36:23.8739270,02:58:08,"[{""ChildEntityId"":87,""ChildIsRequired"":true}]"
85,c_brown_data_prod.sap_bw.t_zt_makr,bronze,1,1,0,0,2024-02-15 01:41:59.4251880,03:04:20,"[{""ChildEntityId"":87,""ChildIsRequired"":true}]"
86,c_brown_data_prod.sap_erp_hurt.t_knvv,bronze,1,1,0,0,2024-02-15 02:44:11.9818883,08:52:30,"[{""ChildEntityId"":87,""ChildIsRequired"":true},{""ChildEntityId"":67,""ChildIsRequired"":true}]"
87,dictionary,common,0,1,0,0,2024-02-15 02:48:21.7466667,03:30:20,"[{""ChildEntityId"":17,""ChildIsRequired"":true},{""ChildEntityId"":78,""ChildIsRequired"":true},{""ChildEntityId"":67,""ChildIsRequired"":true}]"
88,c_brown_data_prod.sap_bw.t_zt_dkmnr,bronze,1,1,0,0,2024-02-15 01:37:36.0623344,02:58:54,"[{""ChildEntityId"":79,""ChildIsRequired"":true}]"
89,c_brown_data_prod.cbf.t_pos2_dl_docum_discount_view,bronze,1,1,0,0,2024-02-15 08:14:37.6489651,12:11:20,"[{""ChildEntityId"":78,""ChildIsRequired"":true}]"
90,c_brown_data_prod.dw.t_dw_az_tpm_campaign_view,bronze,1,1,0,0,2024-02-15 04:07:16.5933701,12:37:34,"[{""ChildEntityId"":78,""ChildIsRequired"":true}]"
91,c_brown_data_prod.dw.t_dw_az_tpm_promotion_view,bronze,1,1,0,0,2024-02-15 04:07:57.3123535,12:37:56,"[{""ChildEntityId"":78,""ChildIsRequired"":true}]"
92,c_brown_data_prod.pimmd.t_attributes_options,bronze,1,1,0,0,2024-02-15 00:07:55.8353904,00:07:19,"[{""ChildEntityId"":17,""ChildIsRequired"":false}]"
106,ec_dm_sales,external_caller,0,1,0,0,2024-02-15 07:48:22.4400000,08:30:58,
